,artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
2110,Albrecht Durer,,portrait,2360.0,3000.0,757619.0,wikiart,Northern Renaissance,Portrait of a Woman ,train_and_test,True,13849.jpg
2123,Rembrandt,1630,religious painting,2326.0,3040.0,1527615.0,wikiart,Baroque,Jeremiah mourning over the Destruction of Jerusalem,train_and_test,True,18870.jpg
2136,Albrecht Durer,,sketch and study,2352.0,3000.0,758117.0,wikiart,Northern Renaissance,Kneeling Apostle,train_and_test,True,60098.jpg
2146,Albrecht Durer,,sketch and study,3000.0,2349.0,692848.0,wikiart,Northern Renaissance,Study of male hands and arms,train_and_test,True,62551.jpg
2160,Albrecht Durer,1515,sketch and study,2342.0,3000.0,867916.0,wikiart,Northern Renaissance,Study sheet with six nude figures,train_and_test,False,63358.jpg
2221,Rembrandt,1632,self-portrait,2256.0,3085.0,1556114.0,wikiart,Baroque,Self-portrait,train_and_test,True,99375.jpg
2237,Albrecht Durer,,sketch and study,3000.0,2315.0,811765.0,wikiart,Northern Renaissance,Garment studies,train_and_test,True,48826.jpg
2249,Albrecht Durer,1498,mythological painting,2310.0,3000.0,826056.0,wikiart,Northern Renaissance,Death of Orpheus,train_and_test,True,28031.jpg
2251,Albrecht Durer,1506,sketch and study,2309.0,3000.0,1282975.0,wikiart,Northern Renaissance,Head of an Angel,train_and_test,True,47941.jpg
2259,Albrecht Durer,,religious painting,2304.0,3000.0,846317.0,wikiart,Northern Renaissance,Christ on the Mount of Olives,train_and_test,True,21472.jpg
2272,Albrecht Durer,1501,nude painting (nu),3000.0,2298.0,668993.0,wikiart,Northern Renaissance,Reclining female nude,train_and_test,False,33450.jpg
2274,Pierre-Auguste Renoir,c.1895,portrait,2297.0,3000.0,4293219.0,wikiart,Orientalism,Odalisque,train_and_test,False,69374.jpg
2283,Albrecht Durer,,sketch and study,2536.0,2714.0,861653.0,wikiart,Northern Renaissance,Studies of a Calvary,train_and_test,True,34525.jpg
2286,Albrecht Durer,,religious painting,2293.0,3000.0,1252920.0,wikiart,Northern Renaissance,Head of the twelve year old Christ,train_and_test,True,48300.jpg
2292,Albrecht Durer,1503,portrait,2291.0,3000.0,676064.0,wikiart,Northern Renaissance,Portrait of William Pirckheimer ,train_and_test,True,22440.jpg
2297,Albrecht Durer,,genre painting,2288.0,3000.0,955181.0,wikiart,Northern Renaissance,Couple on Horseback,train_and_test,True,52743.jpg
2306,Albrecht Durer,,genre painting,2284.0,3000.0,789116.0,wikiart,Northern Renaissance,Women only,train_and_test,True,26032.jpg
2309,Albrecht Durer,,mythological painting,3000.0,2282.0,863585.0,wikiart,Northern Renaissance,Fighting Seekentauren,train_and_test,True,5388.jpg
2335,Albrecht Durer,,portrait,2269.0,3000.0,837546.0,wikiart,Northern Renaissance,Portrait of a Windisch farmer ,train_and_test,False,64185.jpg
2336,Albrecht Durer,,sketch and study,2536.0,2684.0,739861.0,wikiart,Northern Renaissance,"Study sheet with Madonna and child, hand and sleeve",train_and_test,True,23187.jpg
2344,Albrecht Durer,,religious painting,2266.0,3000.0,906068.0,wikiart,Northern Renaissance,Temptation,train_and_test,True,66242.jpg
2346,Albrecht Durer,,religious painting,2536.0,2680.0,795290.0,wikiart,Northern Renaissance,St. Martin,train_and_test,True,66394.jpg
2445,Albrecht Durer,,sketch and study,2223.0,3000.0,897141.0,wikiart,Northern Renaissance,The Cross of Christ,train_and_test,True,69343.jpg
2449,Albrecht Durer,,religious painting,3000.0,2221.0,1161729.0,wikiart,Northern Renaissance,The Cross of Christ,train_and_test,True,79317.jpg
2451,Albrecht Durer,1493,self-portrait,2220.0,3000.0,682738.0,wikiart,Northern Renaissance,"Study sheet with self-portrait, hand, and cushions",train_and_test,True,64374.jpg
2452,Albrecht Durer,,portrait,2220.0,3000.0,830408.0,wikiart,Northern Renaissance,Portrait of Conrat Verkell ,train_and_test,True,1805.jpg
2453,Albrecht Durer,,religious painting,2220.0,3000.0,799315.0,wikiart,Northern Renaissance,Birth of Mary,train_and_test,False,88070.jpg
2454,Albrecht Durer,,sketch and study,2220.0,3000.0,897912.0,wikiart,Northern Renaissance,Head of an old man,train_and_test,True,30582.jpg
2457,Albrecht Durer,,allegorical painting,2134.0,3118.0,2236227.0,wikiart,Northern Renaissance,Philosophia (personification of philosophy),train_and_test,True,4200.jpg
2464,Albrecht Durer,,sketch and study,2211.0,3000.0,792578.0,wikiart,Northern Renaissance,The garment of Christ,train_and_test,True,46797.jpg
2465,Albrecht Durer,,religious painting,2210.0,3000.0,1018242.0,wikiart,Northern Renaissance,Holy Family,train_and_test,True,39438.jpg
2468,Albrecht Durer,,design,2209.0,3000.0,643907.0,wikiart,Northern Renaissance,Design to a court dress,train_and_test,False,93934.jpg
2479,Albrecht Durer,,miniature,2206.0,3000.0,719661.0,wikiart,Northern Renaissance,Draft for a book sign Crane,train_and_test,True,27101.jpg
2493,Albrecht Durer,1497,religious painting,2200.0,3000.0,778932.0,wikiart,Northern Renaissance,"Winged Man In Idealistic Clothing, playing a Lute",train_and_test,True,64019.jpg
2503,Albrecht Durer,,religious painting,3000.0,2198.0,1085537.0,wikiart,Northern Renaissance,The Cross of Christ with Saint Veronica,train_and_test,True,94162.jpg
2517,Albrecht Durer,,sketch and study,2189.0,3000.0,756339.0,wikiart,Northern Renaissance,Christ before Pilate ,train_and_test,True,25486.jpg
2519,Albrecht Durer,,portrait,2188.0,3000.0,735335.0,wikiart,Northern Renaissance,Portrait of a young woman ,train_and_test,True,39414.jpg
2520,Albrecht Durer,,portrait,2188.0,3000.0,801319.0,wikiart,Northern Renaissance,Portrait of an eighteen year old man ,train_and_test,False,58634.jpg
2521,Albrecht Durer,,religious painting,2188.0,3000.0,695202.0,wikiart,Northern Renaissance,St. Catherine,train_and_test,True,93831.jpg
2522,Albrecht Durer,,religious painting,2187.0,3000.0,850580.0,wikipedia,Northern Renaissance,Christ on the Mount of Olives,train_and_test,True,10199.jpg
2524,Albrecht Durer,,mythological painting,3000.0,2186.0,782690.0,wikiart,Northern Renaissance,Hercules and the birds symphalischen,train_and_test,True,67752.jpg
2526,Albrecht Durer,,sketch and study,3000.0,2185.0,798120.0,wikiart,Northern Renaissance,Father's robe God,train_and_test,False,63434.jpg
2530,Albrecht Durer,1504,sketch and study,2183.0,3000.0,753521.0,wikiart,Northern Renaissance,Crowning with Thorns ,train_and_test,True,8208.jpg
2531,Albrecht Durer,,sketch and study,2183.0,3000.0,805913.0,wikiart,Northern Renaissance,Left Arm,train_and_test,True,24132.jpg
2534,Albrecht Durer,,sketch and study,2182.0,3000.0,703816.0,wikipedia,Northern Renaissance,Christ on the Mount of Olives ,train_and_test,False,44814.jpg
2540,Albrecht Durer,,religious painting,2179.0,3000.0,778661.0,wikiart,Northern Renaissance,St. Fridolin,train_and_test,True,12105.jpg
2547,Albrecht Durer,,design,2176.0,3000.0,526393.0,wikiart,Northern Renaissance,Design to a court dress,train_and_test,True,103162.jpg
2551,Albrecht Durer,,sketch and study,2175.0,3000.0,722528.0,wikiart,Northern Renaissance,The justice of Trajan,train_and_test,True,1756.jpg
2552,Albrecht Durer,,portrait,2175.0,3000.0,707983.0,wikiart,Northern Renaissance,Head of a suffering man,train_and_test,False,27939.jpg
2566,Albrecht Durer,,religious painting,2169.0,3000.0,957986.0,wikipedia,Northern Renaissance,Death of the Virgin,train_and_test,False,77288.jpg
2576,Albrecht Durer,,allegorical painting,2536.0,2563.0,747814.0,wikipedia,Northern Renaissance,Scheibenriß Tafelnde society and death,train_and_test,False,19321.jpg
2578,Albrecht Durer,,sketch and study,2166.0,3000.0,657485.0,wikipedia,Northern Renaissance,The Holy Trinity,train_and_test,True,85890.jpg
2586,Albrecht Durer,,mythological painting,2536.0,2558.0,637132.0,wikiart,Northern Renaissance,Venus on a dolphin,train_and_test,True,8607.jpg
2593,Albrecht Durer,,sketch and study,2160.0,3000.0,692213.0,wikiart,Northern Renaissance,Christ before Caiaphas ,train_and_test,True,81573.jpg
2620,Albrecht Durer,,religious painting,3000.0,2150.0,1036158.0,wikiart,Northern Renaissance,Christ,train_and_test,True,18801.jpg
2653,Albrecht Durer,,mythological painting,2140.0,3000.0,762667.0,wikiart,Northern Renaissance,Apollo,train_and_test,False,45371.jpg
2655,Rembrandt,1645,portrait,2178.0,2947.0,1633900.0,wikiart,Baroque,Woman in bed,train_and_test,True,95687.jpg
2657,Albrecht Durer,1508,sketch and study,2139.0,3000.0,833106.0,wikiart,Northern Renaissance,Head of an apostle,train_and_test,False,2310.jpg
2658,Albrecht Durer,,sketch and study,2536.0,2530.0,734293.0,wikiart,Northern Renaissance,Head of a Pope,train_and_test,True,66272.jpg
2669,Albrecht Durer,,sketch and study,2134.0,3000.0,646564.0,wikiart,Northern Renaissance,Study of a Christ on the Mount of Olives,train_and_test,True,56259.jpg
2683,Albrecht Durer,,sketch and study,3000.0,2130.0,834393.0,wikiart,Northern Renaissance,Christ boy,train_and_test,True,13513.jpg
2695,Albrecht Durer,,sketch and study,2122.0,3000.0,783496.0,wikiart,Northern Renaissance,The Cross of Christ ,train_and_test,True,23895.jpg
2705,Albrecht Durer,1521,religious painting,2116.0,3000.0,1255106.0,wikiart,Northern Renaissance,St. Apollonia,train_and_test,True,38799.jpg
2706,Albrecht Durer,,sketch and study,3000.0,2116.0,778014.0,wikiart,Northern Renaissance,Hand of God the Father,train_and_test,True,88907.jpg
2719,Albrecht Durer,,religious painting,2112.0,3000.0,1088701.0,wikiart,Northern Renaissance,Angel Fair,train_and_test,True,72191.jpg
2751,Albrecht Durer,c.1496,religious painting,3200.0,1967.0,672171.0,wikiart,Northern Renaissance,"Altar, medium and image wing, overall view ",train_and_test,True,62661.jpg
2752,Albrecht Durer,,portrait,2098.0,3000.0,854014.0,wikiart,Northern Renaissance,One of the wise virgins,train_and_test,False,88505.jpg
2755,Albrecht Durer,,religious painting,2536.0,2481.0,816408.0,wikiart,Northern Renaissance,Rest on the Flight to Egypt,train_and_test,True,93902.jpg
2759,Albrecht Durer,,sketch and study,2536.0,2480.0,625275.0,wikiart,Northern Renaissance,Christ and Mary Magdalene,train_and_test,True,87750.jpg
2767,Albrecht Durer,,sketch and study,3000.0,2093.0,746603.0,wikiart,Northern Renaissance,Lectern with books,train_and_test,False,63371.jpg
2776,Albrecht Durer,,allegorical painting,3000.0,2089.0,683531.0,wikiart,Northern Renaissance,Allegory of eloquence,train_and_test,True,70474.jpg
2779,Albrecht Durer,,mythological painting,3000.0,2088.0,636193.0,wikiart,Northern Renaissance,Venus und Amor,train_and_test,True,56630.jpg
2797,Albrecht Durer,,sketch and study,3000.0,2083.0,675308.0,wikiart,Northern Renaissance,"Studies on a great ""picture of the Virgin""   Madonna with child, ten saints and angels",train_and_test,True,19114.jpg
2800,Albrecht Durer,,portrait,2082.0,3000.0,587399.0,wikiart,Northern Renaissance,Portrait of Matthew Landauer ,train_and_test,True,86967.jpg
2808,Albrecht Durer,,sketch and study,3000.0,2078.0,724986.0,wikiart,Northern Renaissance,Rock study of hikers,train_and_test,True,65852.jpg
2828,Albrecht Durer,1514,allegorical painting,2192.0,2831.0,6424587.0,wikiart,Northern Renaissance,Melencolia I,train_and_test,True,74775.jpg
2831,Albrecht Durer,,religious painting,2068.0,3000.0,740239.0,wikiart,Northern Renaissance,St. Dominic,train_and_test,True,66300.jpg
2835,Albrecht Durer,,caricature,3000.0,2065.0,830032.0,wikiart,Northern Renaissance,Caricature of Lazarus Spengler,train_and_test,False,24360.jpg
2849,Albrecht Durer,,design,2057.0,3000.0,510273.0,wikiart,Northern Renaissance,Design to a court dress,train_and_test,False,85104.jpg
2850,Albrecht Durer,,sketch and study,3000.0,2056.0,669227.0,wikiart,Northern Renaissance,Study sheet with the Rape of Europa,train_and_test,True,87626.jpg
2856,Albrecht Durer,,sketch and study,2054.0,3000.0,987245.0,wikiart,Northern Renaissance,Arrest of Christ ,train_and_test,False,94191.jpg
2929,Albrecht Durer,,religious painting,2023.0,3000.0,811357.0,wikiart,Northern Renaissance,The dead Christ with the crown of thorns,train_and_test,True,44745.jpg
2938,Albrecht Durer,,sketch and study,2019.0,3000.0,643708.0,wikiart,Northern Renaissance,The mantle of the Pope,train_and_test,True,87431.jpg
2939,Albrecht Durer,1521,portrait,2019.0,3000.0,787850.0,wikiart,Northern Renaissance,Man Aged 93 (brush & ink on paper),train_and_test,True,20409.jpg
2943,Albrecht Durer,,religious painting,2024.0,2991.0,839895.0,wikiart,Northern Renaissance,St. Barbara,train_and_test,True,88890.jpg
2945,Albrecht Durer,,allegorical painting,2017.0,3000.0,606381.0,wikiart,Northern Renaissance,Death and rider,train_and_test,True,99860.jpg
2946,Albrecht Durer,,vanitas,2536.0,2386.0,682749.0,wikiart,Northern Renaissance,Skull,train_and_test,False,95878.jpg
2951,Albrecht Durer,1506,portrait,2024.0,2987.0,746235.0,wikiart,Northern Renaissance,Portrait of an architect ,train_and_test,True,1707.jpg
2955,Albrecht Durer,,design,2024.0,2986.0,907849.0,wikiart,Northern Renaissance,Design for All Saints picture,train_and_test,True,19728.jpg
2957,Albrecht Durer,,religious painting,2014.0,3000.0,819366.0,wikiart,Northern Renaissance,The Holy Family with angels under trees,train_and_test,False,23620.jpg
2962,Albrecht Durer,1506,nude painting (nu),2024.0,2984.0,742053.0,wikiart,Northern Renaissance,Seated Nude Child,train_and_test,True,32124.jpg
2964,Albrecht Durer,,mythological painting,3000.0,2013.0,860309.0,wikiart,Northern Renaissance,Bacchanal with Silenus,train_and_test,True,43359.jpg
2969,Albrecht Durer,,portrait,2024.0,2982.0,670876.0,wikiart,Northern Renaissance,Head of an African,train_and_test,True,3754.jpg
2978,Albrecht Durer,,portrait,2024.0,2977.0,809505.0,wikiart,Northern Renaissance,Head of a smiling woman,train_and_test,False,33711.jpg
3003,Albrecht Durer,,religious painting,2024.0,2968.0,572085.0,wikiart,Northern Renaissance,Christ on the Cross,train_and_test,False,32072.jpg
3019,Albrecht Durer,1495,nude painting (nu),2024.0,2957.0,657787.0,wikiart,Northern Renaissance,Nude Study (Nude Female from the Back),train_and_test,True,71994.jpg
3023,Albrecht Durer,,sketch and study,1994.0,3000.0,605185.0,wikiart,Northern Renaissance,Female Nude ,train_and_test,True,98693.jpg
3037,Albrecht Durer,c.1511,landscape,3000.0,1991.0,3016142.0,wikiart,Northern Renaissance,View of Kalchreut,train_and_test,True,91924.jpg
3041,Albrecht Durer,,portrait,1989.0,3000.0,789381.0,wikiart,Northern Renaissance,Head of a Woman,train_and_test,True,79477.jpg
3092,Albrecht Durer,1508,sketch and study,2536.0,2344.0,567296.0,wikiart,Northern Renaissance,Upper Body of Christ,train_and_test,True,84130.jpg
3095,Albrecht Durer,,sketch and study,1981.0,3000.0,599306.0,wikiart,Northern Renaissance,"Study Journal, naked couple and the Devil",train_and_test,True,84901.jpg
3102,Albrecht Durer,,sketch and study,1977.0,3000.0,622609.0,wikiart,Northern Renaissance,Handestudien,train_and_test,True,77291.jpg
3103,Albrecht Durer,,animal painting,1977.0,3000.0,565378.0,wikiart,Northern Renaissance,Stork,train_and_test,True,23875.jpg
3117,Albrecht Durer,,landscape,3000.0,1973.0,773509.0,wikiart,Northern Renaissance,Quarry,train_and_test,True,61964.jpg
3118,Albrecht Durer,,portrait,1973.0,3000.0,549819.0,wikiart,Northern Renaissance,Head of an old man in profile,train_and_test,True,84220.jpg
3125,Albrecht Durer,,portrait,2024.0,2921.0,597369.0,wikiart,Northern Renaissance,Head of a Young Woman,train_and_test,True,62288.jpg
3126,Rembrandt,1660,sketch and study,2536.0,2331.0,556292.0,wikiart,Baroque,Healing of Peter`s Mother in law,train_and_test,True,26609.jpg
3135,Albrecht Durer,,religious painting,1968.0,3000.0,770151.0,wikiart,Northern Renaissance,The Holy Family in a hall,train_and_test,True,41100.jpg
3138,Albrecht Durer,1500,self-portrait,2052.0,2876.0,805305.0,wikiart,Northern Renaissance,Self-Portrait at the Age of Twenty Eight,train_and_test,True,15902.jpg
3146,Albrecht Durer,,religious painting,1966.0,3000.0,750404.0,wikiart,Northern Renaissance,The Cross of Christ ,train_and_test,True,87704.jpg
3156,Albrecht Durer,,sketch and study,1963.0,3000.0,524796.0,wikiart,Northern Renaissance,Female Nude ,train_and_test,True,73361.jpg
3158,Albrecht Durer,,religious painting,1962.0,3000.0,696132.0,wikiart,Northern Renaissance,Adoration of the Magi,train_and_test,True,80380.jpg
3159,Albrecht Durer,,sketch and study,2024.0,2908.0,447558.0,wikiart,Northern Renaissance,Male Nude(Apollo Poynter),train_and_test,True,43640.jpg
3164,Albrecht Durer,,portrait,1960.0,3000.0,566940.0,wikiart,Northern Renaissance,Nuremberg woman in house dress,train_and_test,True,16923.jpg
3185,Albrecht Durer,,animal painting,3000.0,1954.0,643584.0,wikiart,Northern Renaissance,Rhinoceros,train_and_test,False,43683.jpg
3186,Albrecht Durer,,religious painting,1954.0,3000.0,752073.0,wikiart,Northern Renaissance,Annunciation,train_and_test,False,68276.jpg
3187,Albrecht Durer,,religious painting,1954.0,3000.0,702582.0,wikiart,Northern Renaissance,Christ before Pilate ,train_and_test,True,84268.jpg
3204,Albrecht Durer,,portrait,2024.0,2887.0,677282.0,wikiart,Northern Renaissance,Hans the Elder Portrait Burgkmair,train_and_test,True,89543.jpg
3224,Rembrandt,1639,portrait,2000.0,2909.0,1597318.0,wikiart,Baroque,Maria Trip,train_and_test,True,85122.jpg
3238,Albrecht Durer,,religious painting,2024.0,2868.0,888430.0,wikiart,Northern Renaissance,Madonna and Child with musical angels,train_and_test,True,79371.jpg
3243,Albrecht Durer,,genre painting,1934.0,3000.0,862513.0,wikiart,Northern Renaissance,Youth with executioner,train_and_test,True,32849.jpg
3248,Albrecht Durer,,portrait,1933.0,3000.0,682722.0,wikiart,Northern Renaissance,Erin Nuremberg and Venetian,train_and_test,True,40004.jpg
3261,Albrecht Durer,c.1519,portrait,2024.0,2859.0,1339510.0,wikiart,Northern Renaissance,Portrait of Jakob Fugger,train_and_test,True,1975.jpg
3298,Albrecht Durer,,genre painting,3000.0,1920.0,748770.0,wikiart,Northern Renaissance,Society on horseback,train_and_test,True,70284.jpg
3306,Albrecht Durer,,sketch and study,2536.0,2269.0,664951.0,wikiart,Northern Renaissance,Father's robe God,train_and_test,True,33002.jpg
3329,Albrecht Durer,,religious painting,1912.0,3000.0,638683.0,wikiart,Northern Renaissance,Flagellation ,train_and_test,True,56434.jpg
3337,Albrecht Durer,,portrait,2024.0,2830.0,931714.0,wikiart,Northern Renaissance,Portrait of a Young Man ,train_and_test,False,89560.jpg
3356,Albrecht Durer,,religious painting,1905.0,3000.0,650539.0,wikipedia,Northern Renaissance,Christ Crowned with Thorns ,train_and_test,True,83301.jpg
3374,Albrecht Durer,,religious painting,1899.0,3000.0,733526.0,wikiart,Northern Renaissance,The Cross of Christ ,train_and_test,False,59265.jpg
3377,Albrecht Durer,1514,portrait,2024.0,2814.0,688790.0,wikiart,Northern Renaissance,Portrait of the Artist's Mother ,train_and_test,True,101535.jpg
3378,Albrecht Durer,1504,religious painting,1898.0,3000.0,1034652.0,wikiart,Northern Renaissance,Christ before Caiaphas ,train_and_test,True,89622.jpg
3382,Albrecht Durer,,religious painting,1897.0,3000.0,1314783.0,wikiart,Northern Renaissance,The Arrest of Christ ,train_and_test,True,52944.jpg
3383,Rembrandt,c.1628,self-portrait,2162.0,2631.0,1558301.0,wikipedia,Baroque,Self-portrait as a Young Man,train_and_test,False,19980.jpg
3384,Albrecht Durer,,genre painting,1896.0,3000.0,549792.0,wikiart,Northern Renaissance,Back figure,train_and_test,True,57353.jpg
3394,Albrecht Durer,,sketch and study,1894.0,3000.0,489085.0,wikiart,Northern Renaissance,Study sheets with children's heads,train_and_test,True,24519.jpg
3399,Albrecht Durer,,religious painting,1893.0,3000.0,729320.0,wikiart,Northern Renaissance,Christ ,train_and_test,False,13194.jpg
3426,Albrecht Durer,,genre painting,3000.0,1887.0,568914.0,wikiart,Northern Renaissance,Fencing Reiter,train_and_test,True,88671.jpg
3449,Albrecht Durer,,portrait,2024.0,2786.0,579718.0,wikiart,Northern Renaissance,Portrait of Erasmus of Rotterdam ,train_and_test,False,63968.jpg
3454,Albrecht Durer,,sketch and study,3000.0,1879.0,729445.0,wikiart,Northern Renaissance,Martyrdom of the Ten Thousand,train_and_test,False,36152.jpg
3482,Pierre-Auguste Renoir,1868,portrait,2024.0,2777.0,658746.0,wikiart,Impressionism,Portrait of the couple Sisley,train_and_test,True,82624.jpg
3507,Albrecht Durer,,sketch and study,1868.0,3000.0,645835.0,wikiart,Northern Renaissance,Left Hand of an Apostle,train_and_test,True,8429.jpg
